,name,album,artist,duration_ms,popularity,img_album,external_url,id
23,Wild Horses - 2009 Mix,Sticky Fingers (Remastered),The Rolling Stones,341773,68,https://i.scdn.co/image/ab67616d00001e02a1d9c9969f2a7ed27e449a3c,https://open.spotify.com/track/52dm9op3rbfAkc1LGXgipW,52dm9op3rbfAkc1LGXgipW
24,Society,Into The Wild (Music For The Motion Picture),Eddie Vedder,236306,67,https://i.scdn.co/image/ab67616d00001e023ed52339ae78ac1b695e8d80,https://open.spotify.com/track/3bHhUEOTIbezeZ856R0BX5,3bHhUEOTIbezeZ856R0BX5
25,Knockin' On Heaven's Door,Pat Garrett & Billy The Kid (Soundtrack From The Motion Picture),Bob Dylan,149880,72,https://i.scdn.co/image/ab67616d00001e026c86683d20c72e3874c11c6d,https://open.spotify.com/track/6HSXNV0b4M4cLJ7ljgVVeh,6HSXNV0b4M4cLJ7ljgVVeh
26,Locomotive Breath,Aqualung (Special Edition),Jethro Tull,266013,59,https://i.scdn.co/image/ab67616d00001e02be6e758fe8300a72eceddb8f,https://open.spotify.com/track/0MYNeFsKpzBHwrJGfWZysV,0MYNeFsKpzBHwrJGfWZysV
27,Jet Airliner - Remastered 2017,Ultimate Hits,Steve Miller Band,215965,31,https://i.scdn.co/image/ab67616d00001e02a211693e1fb6bdd42cfb4605,https://open.spotify.com/track/02Y5MRZD7AsElSRxsQtQzw,02Y5MRZD7AsElSRxsQtQzw
28,I Can't Dance - 2007 Remaster,We Can't Dance,Genesis,239613,53,https://i.scdn.co/image/ab67616d00001e02715989800acd29a992275c31,https://open.spotify.com/track/0No5Hr1LxZjJHGsQSTy2bm,0No5Hr1LxZjJHGsQSTy2bm
29,Bad Moon Rising,Green River (Expanded Edition),Creedence Clearwater Revival,141600,79,https://i.scdn.co/image/ab67616d00001e023efcd243aaa5638f55318f91,https://open.spotify.com/track/20OFwXhEXf12DzwXmaV7fj,20OFwXhEXf12DzwXmaV7fj
30,Susie Q,Chronicle: 20 Greatest Hits,Creedence Clearwater Revival,274160,60,https://i.scdn.co/image/ab67616d00001e025b18abb5facf12c82192bda7,https://open.spotify.com/track/6z2AyfE9GZxoHqJVSA4NgN,6z2AyfE9GZxoHqJVSA4NgN
31,Million Reasons,Joanne (Deluxe),Lady Gaga,205280,76,https://i.scdn.co/image/ab67616d00001e028093238ec0c71ef7c95c8fb1,https://open.spotify.com/track/7dZ1Odmx9jWIweQSatnRqo,7dZ1Odmx9jWIweQSatnRqo
32,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",My House,Flo Rida,224258,66,https://i.scdn.co/image/ab67616d00001e027947bf3e8af32378de181b41,https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ,2S5LNtRVRPbXk01yRQ14sZ
